"","Tree.ID","Plant.ID","Site","Date","DOY","Year","F"
"50","GCVC9",9,"GCVC",2017-07-20,201,"2017","YES"
"51","GCVC9",9,"GCVC",2018-06-21,172,"2018","YES"
"52","GCVC9",9,"GCVC",2019-07-08,189,"2019","YES"
"53","GCVC9",9,"GCVC",2020-06-22,174,"2020","YES"
"54","GCVC9",9,"GCVC",2021-06-24,175,"2021","YES"
"55","HQ1",1,"HQ",2013-06-26,177,"2013","YES"
"56","HQ1",1,"HQ",2014-06-23,174,"2014","YES"
"57","HQ1",1,"HQ",2015-06-22,173,"2015","YES"
"58","HQ1",1,"HQ",2016-06-23,175,"2016","YES"
"59","HQ1",1,"HQ",2018-06-28,179,"2018","YES"
"60","HQ1",1,"HQ",2019-06-24,175,"2019","YES"
"61","HQ1",1,"HQ",2020-06-22,174,"2020","YES"
"62","HQ1",1,"HQ",2021-06-24,175,"2021","YES"
"63","HQ2",2,"HQ",2013-06-26,177,"2013","YES"
"64","HQ2",2,"HQ",2014-06-23,174,"2014","YES"
"65","HQ2",2,"HQ",2015-06-22,173,"2015","YES"
"66","HQ2",2,"HQ",2016-06-23,175,"2016","YES"
"67","HQ2",2,"HQ",2017-07-17,198,"2017","YES"
"68","HQ2",2,"HQ",2018-06-25,176,"2018","YES"
"69","HQ2",2,"HQ",2019-06-24,175,"2019","YES"
"70","HQ2",2,"HQ",2020-06-22,174,"2020","YES"
"71","HQ2",2,"HQ",2021-06-28,179,"2021","YES"
"72","Shrine1",1,"SHRINE",2015-07-02,183,"2015","YES"
"73","Shrine1",1,"SHRINE",2015-07-02,183,"2015","YES"
"74","Shrine1",1,"SHRINE",2016-06-30,182,"2016","YES"
"75","Shrine1",1,"SHRINE",2020-06-22,174,"2020","YES"
"76","Shrine1",1,"SHRINE",2021-07-01,182,"2021","YES"
"77","SHRINE1",1,"SHRINE",2013-06-26,177,"2013","YES"
"78","SHRINE1",1,"SHRINE",2014-06-23,174,"2014","YES"
"79","SHRINE1",1,"SHRINE",2015-06-22,173,"2015","YES"
"80","SHRINE1",1,"SHRINE",2016-06-20,172,"2016","YES"
"81","SHRINE1",1,"SHRINE",2018-06-25,176,"2018","YES"
"82","SHRINE1",1,"SHRINE",2019-06-24,175,"2019","YES"
"83","SHRINE1",1,"SHRINE",2020-07-09,191,"2020","YES"
"84","SHRINE1",1,"SHRINE",2021-07-29,210,"2021","YES"
"85","Shrine2",2,"SHRINE",2016-06-30,182,"2016","YES"
"86","Shrine2",2,"SHRINE",2020-07-22,204,"2020","YES"
"87","Shrine2",2,"SHRINE",2021-06-24,175,"2021","YES"
"88","SHRINE2",2,"SHRINE",2013-06-26,177,"2013","YES"
"89","SHRINE2",2,"SHRINE",2014-06-23,174,"2014","YES"
"90","SHRINE2",2,"SHRINE",2016-06-23,175,"2016","YES"
"91","SHRINE2",2,"SHRINE",2018-06-25,176,"2018","YES"
"92","SHRINE2",2,"SHRINE",2019-08-05,217,"2019","YES"
"93","SHRINE2",2,"SHRINE",2020-07-09,191,"2020","YES"
"94","SHRINE2",2,"SHRINE",2021-07-29,210,"2021","YES"
"95","Shrine3",3,"SHRINE",2015-07-02,183,"2015","YES"
"96","Shrine3",3,"SHRINE",2015-07-02,183,"2015","YES"
"97","Shrine3",3,"SHRINE",2016-06-30,182,"2016","YES"
"98","SHRINE3",3,"SHRINE",2013-06-26,177,"2013","YES"
"99","SHRINE3",3,"SHRINE",2014-06-23,174,"2014","YES"
"100","SHRINE3",3,"SHRINE",2015-06-22,173,"2015","YES"
"101","SHRINE3",3,"SHRINE",2016-06-20,172,"2016","YES"
"102","SHRINE3",3,"SHRINE",2018-06-28,179,"2018","YES"
"103","SHRINE3",3,"SHRINE",2021-07-19,200,"2021","YES"
"104","Shrine4",4,"SHRINE",2015-07-02,183,"2015","YES"
"105","Shrine4",4,"SHRINE",2015-07-02,183,"2015","YES"
"106","Shrine4",4,"SHRINE",2016-06-30,182,"2016","YES"
"107","Shrine4",4,"SHRINE",2020-07-02,184,"2020","YES"
"108","Shrine4",4,"SHRINE",2021-08-30,242,"2021","YES"
"109","SHRINE4",4,"SHRINE",2013-06-26,177,"2013","YES"
"110","SHRINE4",4,"SHRINE",2014-06-23,174,"2014","YES"
"111","SHRINE4",4,"SHRINE",2015-06-22,173,"2015","YES"
"112","SHRINE4",4,"SHRINE",2016-06-20,172,"2016","YES"
"113","SHRINE4",4,"SHRINE",2018-06-25,176,"2018","YES"
"114","SHRINE4",4,"SHRINE",2020-07-09,191,"2020","YES"
"115","SHRINE4",4,"SHRINE",2021-07-29,210,"2021","YES"
