Observation ID,Site,Species Code,Observer,Plant #,Date,Year,Arrival Time,Departure Time,Weather,North Face,South Face,Breaking Leaf Buds,How many do you see?,Leaves?,What % of canopy is full?,Colored Leaves?,What % of canopy has colored leaves?,Falling Leaves,Fruits,How many fruits do you see??,Ripe Fruits,What % of all Fruit are Ripe?,Recent Fruit Drop?,How many dropped fruit did you see?,Species Observed,Other Comments
44,ERD,QUEGAM,ASHBED/DAVELY,6,5/7/2013,2013,,,NR,,,1,11-100,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
45,ERD,QUEGAM,ASHBED/DAVELY,7,5/7/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
46,ERD,QUEGAM,ASHBED/DAVELY,8,5/7/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
47,ERD,QUEGAM,ASHBED/DAVELY,9,5/7/2013,2013,,,NR,,,1,11-100,1,50-74%,0,<25%,0,0,<3,0,<25%,0,<3,,
48,ERD,QUEGAM,ASHBED/DAVELY,10,5/7/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
49,ERD,QUEGAM,SHAMOR/CLAFRA,1,5/9/2013,2013,,,NR,,,1,3-10,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
50,ERD,QUEGAM,SHAMOR/CLAFRA,2,5/9/2013,2013,,,NR,,,1,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
51,ERD,QUEGAM,SHAMOR/CLAFRA,3,5/9/2013,2013,,,NR,,,1,3-10,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
52,ERD,QUEGAM,SHAMOR/CLAFRA,4,5/9/2013,2013,,,NR,,,1,11-100,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
53,ERD,QUEGAM,SHAMOR/CLAFRA,5,5/9/2013,2013,,,NR,,,1,11-100,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
54,ERD,QUEGAM,SHAMOR/CLAFRA,6,5/9/2013,2013,,,NR,,,1,11-100,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
55,ERD,QUEGAM,SHAMOR/CLAFRA,7,5/9/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
56,ERD,QUEGAM,SHAMOR/CLAFRA,8,5/9/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
57,ERD,QUEGAM,SHAMOR/CLAFRA,9,5/9/2013,2013,,,NR,,,1,11-100,1,50-74%,0,<25%,0,0,<3,0,<25%,0,<3,,
58,ERD,QUEGAM,SHAMOR/CLAFRA,10,5/9/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
59,ERD,QUEGAM,AHSJEN/SHAMOR,1,5/13/2013,2013,,,NR,,,1,101-1000,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
60,ERD,QUEGAM,AHSJEN/SHAMOR,2,5/13/2013,2013,,,NR,,,1,101-1000,1,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
61,ERD,QUEGAM,AHSJEN/SHAMOR,3,5/13/2013,2013,,,NR,,,1,101-1000,1,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
62,ERD,QUEGAM,AHSJEN/SHAMOR,4,5/13/2013,2013,,,NR,,,1,101-1000,1,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
63,ERD,QUEGAM,AHSJEN/SHAMOR,5,5/13/2013,2013,,,NR,,,1,1001-10000,1,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
64,ERD,QUEGAM,AHSJEN/SHAMOR,6,5/13/2013,2013,,,NR,,,1,101-1000,1,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
65,ERD,QUEGAM,AHSJEN/SHAMOR,7,5/13/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
66,ERD,QUEGAM,AHSJEN/SHAMOR,8,5/13/2013,2013,,,NR,,,1,3-10,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
67,ERD,QUEGAM,AHSJEN/SHAMOR,9,5/13/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
68,ERD,QUEGAM,AHSJEN/SHAMOR,10,5/13/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
69,ERD,QUEGAM,SHAMOR,1,5/16/2013,2013,,,NR,,,1,1001-10000,1,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
70,ERD,QUEGAM,SHAMOR,2,5/16/2013,2013,,,NR,,,1,1001-10000,1,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
71,ERD,QUEGAM,SHAMOR,3,5/16/2013,2013,,,NR,,,1,101-1000,1,25-49%,0,<25%,0,0,<3,0,<25%,0,<3,,
72,ERD,QUEGAM,SHAMOR,4,5/16/2013,2013,,,NR,,,1,101-1000,1,50-74%,0,<25%,0,0,<3,0,<25%,0,<3,,
73,ERD,QUEGAM,SHAMOR,5,5/16/2013,2013,,,NR,,,1,101-1000,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
74,ERD,QUEGAM,AHSJEN/DAVELY,4,5/23/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
75,ERD,QUEGAM,AHSJEN/DAVELY,5,5/23/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
76,ERD,QUEGAM,AHSJEN/DAVELY,6,5/23/2013,2013,,,NR,,,1,11-100,1,50-74%,0,<25%,0,0,<3,0,<25%,0,<3,,
77,ERD,QUEGAM,AHSJEN/DAVELY,7,5/23/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
78,ERD,QUEGAM,AHSJEN/DAVELY,8,5/23/2013,2013,,,NR,,,1,3-10,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
79,ERD,QUEGAM,AHSJEN/DAVELY,9,5/23/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
80,ERD,QUEGAM,AHSJEN/DAVELY,10,5/23/2013,2013,,,NR,,,1,3-10,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
81,ERD,QUEGAM,AHSJEN/SHADOW,1,5/28/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
82,ERD,QUEGAM,AHSJEN/SHADOW,2,5/28/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
83,ERD,QUEGAM,AHSJEN/SHADOW,3,5/28/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
84,ERD,QUEGAM,AHSJEN/SHADOW,4,5/28/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
85,ERD,QUEGAM,AHSJEN/SHADOW,5,5/28/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
86,ERD,QUEGAM,AHSJEN/SHADOW,6,5/28/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
87,ERD,QUEGAM,AHSJEN/SHADOW,7,5/28/2013,2013,,,NR,,,1,11-100,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
88,ERD,QUEGAM,AHSJEN/SHADOW,8,5/28/2013,2013,,,NR,,,1,3-10,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
89,ERD,QUEGAM,AHSJEN/SHADOW,9,5/28/2013,2013,,,NR,,,1,3-10,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
90,ERD,QUEGAM,AHSJEN/SHADOW,10,5/28/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
91,ERD,QUEGAM,ASHBED,1,5/30/2013,2013,,,NR,,,1,1001-10000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
92,ERD,QUEGAM,ASHBED,2,5/30/2013,2013,,,NR,,,1,1001-10000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
93,ERD,QUEGAM,ASHBED,3,5/30/2013,2013,,,NR,,,1,1001-10000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
94,ERD,QUEGAM,ASHBED,4,5/30/2013,2013,,,NR,,,1,1001-10000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
95,ERD,QUEGAM,ASHBED,5,5/30/2013,2013,,,NR,,,1,1001-10000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
96,ERD,QUEGAM,ASHBED,6,5/30/2013,2013,,,NR,,,1,1001-10000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
97,ERD,QUEGAM,ASHBED,7,5/30/2013,2013,,,NR,,,1,1001-10000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
98,ERD,QUEGAM,ASHBED,8,5/30/2013,2013,,,NR,,,1,1001-10000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
99,ERD,QUEGAM,ASHBED,9,5/30/2013,2013,,,NR,,,1,101-1000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
100,ERD,QUEGAM,ASHBED,10,5/31/2013,2013,,,NR,,,1,101-1000,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
101,ERD,QUEGAM,SHAMOR,1,6/3/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
102,ERD,QUEGAM,SHAMOR,2,6/3/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
103,ERD,QUEGAM,SHAMOR,3,6/3/2013,2013,,,NR,,,1,3-10,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
104,ERD,QUEGAM,SHAMOR,4,6/3/2013,2013,,,NR,,,1,11-100,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
105,ERD,QUEGAM,SHAMOR,5,6/3/2013,2013,,,NR,,,1,3-10,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
106,ERD,QUEGAM,SHAMOR,6,6/3/2013,2013,,,NR,,,1,3-10,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
107,ERD,QUEGAM,SHAMOR,7,6/3/2013,2013,,,NR,,,1,3-10,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
108,ERD,QUEGAM,SHAMOR,8,6/3/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
109,ERD,QUEGAM,SHAMOR,9,6/3/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
110,ERD,QUEGAM,SHAMOR,10,6/3/2013,2013,,,NR,,,1,3-10,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
111,ERD,QUEGAM,SHAMOR,1,6/10/2013,2013,,,NR,,,1,3-10,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
112,ERD,QUEGAM,SHAMOR,2,6/10/2013,2013,,,NR,,,1,3-10,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
113,ERD,QUEGAM,SHAMOR,3,6/10/2013,2013,,,NR,,,1,3-10,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
114,ERD,QUEGAM,SHAMOR,4,6/10/2013,2013,,,NR,,,1,3-10,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
115,ERD,QUEGAM,SHAMOR,5,6/10/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
116,ERD,QUEGAM,SHAMOR,6,6/10/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
117,ERD,QUEGAM,SHAMOR,7,6/10/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
118,ERD,QUEGAM,SHAMOR,8,6/10/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
119,ERD,QUEGAM,SHAMOR,9,6/10/2013,2013,,,NR,,,1,3-10,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
120,ERD,QUEGAM,SHAMOR,10,6/10/2013,2013,,,NR,,,1,3-10,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
121,ERD,QUEGAM,SHAMOR,1,6/13/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
122,ERD,QUEGAM,SHAMOR,2,6/13/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
123,ERD,QUEGAM,SHAMOR,3,6/13/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
124,ERD,QUEGAM,SHAMOR,4,6/13/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
125,ERD,QUEGAM,SHAMOR,5,6/13/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
126,ERD,QUEGAM,SHAMOR,6,6/13/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
127,ERD,QUEGAM,SHAMOR,7,6/13/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
128,ERD,QUEGAM,SHAMOR,8,6/13/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
129,ERD,QUEGAM,SHAMOR,9,6/13/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
130,ERD,QUEGAM,SHAMOR,10,6/13/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
131,ERD,QUEGAM,SHAMOR,1,6/17/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
132,ERD,QUEGAM,SHAMOR,2,6/17/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
133,ERD,QUEGAM,SHAMOR,3,6/17/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
134,ERD,QUEGAM,SHAMOR,4,6/17/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
135,ERD,QUEGAM,SHAMOR,5,6/17/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
136,ERD,QUEGAM,SHAMOR,6,6/17/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
137,ERD,QUEGAM,SHAMOR,7,6/17/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
138,ERD,QUEGAM,SHAMOR,8,6/17/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
139,ERD,QUEGAM,SHAMOR,9,6/17/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
140,ERD,QUEGAM,SHAMOR,10,6/17/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
141,ERD,QUEGAM,AUSWER/DAVELY,1,6/20/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,11-100,0,<25%,0,<3,,
142,ERD,QUEGAM,AUSWER/DAVELY,2,6/20/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,11-100,0,<25%,0,<3,,
143,ERD,QUEGAM,AUSWER/DAVELY,3,6/20/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
144,ERD,QUEGAM,AUSWER/DAVELY,4,6/20/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,11-100,0,<25%,0,<3,,
145,ERD,QUEGAM,AUSWER/DAVELY,5,6/20/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,11-100,0,<25%,0,<3,,
146,ERD,QUEGAM,AUSWER/DAVELY,6,6/20/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,11-100,0,<25%,0,<3,,
147,ERD,QUEGAM,AUSWER/DAVELY,7,6/20/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
148,ERD,QUEGAM,AUSWER/DAVELY,8,6/20/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,11-100,0,<25%,0,<3,,
149,ERD,QUEGAM,AUSWER/DAVELY,9,6/20/2013,2013,,,NR,,,1,3-10,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
150,ERD,QUEGAM,AUSWER/DAVELY,10,6/20/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
151,ERD,QUEGAM,AHSJEN/CARRUF,1,6/24/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
152,ERD,QUEGAM,AHSJEN/CARRUF,2,6/24/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
153,ERD,QUEGAM,AHSJEN/CARRUF,3,6/24/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
154,ERD,QUEGAM,AHSJEN/CARRUF,4,6/24/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
155,ERD,QUEGAM,AHSJEN/CARRUF,5,6/24/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
156,ERD,QUEGAM,AHSJEN/CARRUF,6,6/24/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
157,ERD,QUEGAM,AHSJEN/CARRUF,7,6/24/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
158,ERD,QUEGAM,AHSJEN/CARRUF,8,6/24/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,11-100,0,<25%,0,<3,,
159,ERD,QUEGAM,AHSJEN/CARRUF,9,6/24/2013,2013,,,NR,,,1,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
160,ERD,QUEGAM,AHSJEN/CARRUF,10,6/24/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
161,ERD,QUEGAM,SHAMOR/AUSWER,1,6/27/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
162,ERD,QUEGAM,SHAMOR/AUSWER,2,6/27/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
163,ERD,QUEGAM,SHAMOR/AUSWER,3,6/27/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
164,ERD,QUEGAM,SHAMOR/AUSWER,4,6/27/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
165,ERD,QUEGAM,SHAMOR/AUSWER,5,6/27/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,101-1000,0,<25%,0,<3,,
166,ERD,QUEGAM,SHAMOR/AUSWER,6,6/27/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,11-100,0,<25%,0,<3,,
167,ERD,QUEGAM,SHAMOR/AUSWER,7,6/27/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,1001-10000,0,<25%,0,<3,,
168,ERD,QUEGAM,SHAMOR/AUSWER,8,6/27/2013,2013,,,NR,,,0,<3,1,>95%,0,<25%,0,0,11-100,0,<25%,0,<3,,
