Observation ID,Plant ID,Date,Observer,Site,Time Arrived,Departure Time,Weather,Plant #,North Face Temp,South Face Temp,Species Code,Breaking Leaf Buds,How many buds?,Leaves?,What % of canopy is full?,Colored Leaves?,What % of Canopy is Colored?,Falling Leaves?,Fruits,How many fruit?,Ripe Fruits,What % of all Fruit are Ripe?,Recent Fruit Drop?,How many dropped fruit do you see?,Species Observed,Other Comments,General Comments
24,SHRINE3,6/16/2013,Carlie Ruffalo,SHRINE,,,unknown,3,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
25,SHRINE4,6/16/2013,Carlie Ruffalo,SHRINE,,,unknown,4,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
26,SHRINE1,6/20/2013,Carlie Ruffalo,SHRINE,,,unknown,1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
27,SHRINE2,6/20/2013,Carlie Ruffalo,SHRINE,,,unknown,2,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
28,SHRINE3,6/20/2013,Carlie Ruffalo,SHRINE,,,unknown,3,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
29,SHRINE4,6/20/2013,Carlie Ruffalo,SHRINE,,,unknown,4,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
30,HQ1,6/20/2013,Carlie Ruffalo,HQ,,,unknown,1,,,QUEGAM,No,<3,Yes,>95%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,,
31,HQ2,6/20/2013,Carlie Ruffalo,HQ,,,unknown,2,,,QUEGAM,No,<3,Yes,>95%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,,
32,GCVC7,6/20/2013,Carlie Ruffalo,GCVC,,,unknown,7,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
33,GCVC8,6/20/2013,Carlie Ruffalo,GCVC,,,unknown,8,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,,
34,GCVC9,6/20/2013,Carlie Ruffalo,GCVC,,,unknown,9,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,,
35,GCVC10,6/20/2013,Carlie Ruffalo,GCVC,,,unknown,10,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
36,GCVC5,6/20/2013,Carlie Ruffalo,GCVC,,,unknown,5,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
37,GCVC6,6/20/2013,Carlie Ruffalo,GCVC,,,unknown,6,,,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,,,
38,GCVC1,6/20/2013,Carlie Ruffalo,GCVC,,,unknown,1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,,,
39,GCVC2,6/20/2013,Carlie Ruffalo,GCVC,,,unknown,2,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,No,<3,No,N/A,No,<3,,,
40,SHRINE1,6/26/2013,Laura Shultz/Carlie Ruffalo,SHRINE,8:34,,unknown,1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"Wasp with orange body, unsure of species","This tree is on a rock overhang, approx. 10 ft from road; grows on a tilt; dead branches near bottom of canopy",These 'other comments' include site descriptions to locate trees
41,SHRINE2,6/26/2013,Laura Shultz/Carlie Ruffalo,SHRINE,8:34,,unknown,2,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,North of Shrine #1; dead branches on bottom of canopy; top of canopy mizes with other trees,These 'other comments' include site descriptions to locate trees
42,SHRINE3,6/26/2013,Laura Shultz/Carlie Ruffalo,SHRINE,8:34,,unknown,3,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,"Also on over hang, east of Shrine #1; less dead branches, canopy mixed with many trees",These 'other comments' include site descriptions to locate trees
43,SHRINE4,6/26/2013,Laura Shultz/Carlie Ruffalo,SHRINE,8:34,,unknown,4,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,"Fullest canopy of the Shrine trees; also on overhang; canopy mixed with surrounding trees; trunk splits into two main branches; at midlevel, dead branch",These 'other comments' include site descriptions to locate trees
44,HQ1,6/26/2013,Laura Shultz/Carlie Ruffalo,HQ,8:50,,unknown,1,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,Presence of some kind of fungus/gall,"Split trunk, but only monitoring the tagged trunk; Large tree in front of gvmt parking lot; top of canopy more difficult to observe due to tree's size",These 'other comments' include site descriptions to locate trees
45,HQ2,6/26/2013,Laura Shultz/Carlie Ruffalo,HQ,8:50,,unknown,2,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,Between dumpsters ny HQ gvmt parking; fruit larger than other trees,These 'other comments' include site descriptions to locate trees
46,GCVC7,6/26/2013,Laura Shultz/Carlie Ruffalo,GCVC,,9:47,unknown,7,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Orange wasp,Lots of leaves close to the trunk; Not a lot of branches; Leaves show evidency of insect folivery ,These 'other comments' include site descriptions to locate trees
47,GCVC8,6/26/2013,Laura Shultz/Carlie Ruffalo,GCVC,,9:47,unknown,8,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Spiderwebs,"Triple trunk, only taggedf under observation; leavevs very close to the trunk; denser tree population for this area; some insect-eaten leaves",These 'other comments' include site descriptions to locate trees
48,GCVC9,6/26/2013,Laura Shultz/Carlie Ruffalo,GCVC,,9:47,unknown,9,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,fungus/galls present; also spiderwebs,"Lots of low branchs, mostly dead; insect-eaten leaves",These 'other comments' include site descriptions to locate trees
49,GCVC10,6/26/2013,Laura Shultz/Carlie Ruffalo,GCVC,,9:47,unknown,10,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,Orange wasp,"Double trunk, both under observation; small, low dead branches; fruit noted in data only present on outside trunk",These 'other comments' include site descriptions to locate trees
50,GCVC5,6/26/2013,Laura Shultz/Carlie Ruffalo,GCVC,,9:47,unknown,5,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,Mountain Chickadee,"""puny"" tree; small branches close to trunk; insect-eaten leaves",These 'other comments' include site descriptions to locate trees
51,GCVC6,6/26/2013,Laura Shultz/Carlie Ruffalo,GCVC,,9:47,unknown,6,,,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,"Orange wasp, spider, fungus/galls present","""pretty pathetic"" tree",These 'other comments' include site descriptions to locate trees
52,GCVC1,6/26/2013,Laura Shultz/Carlie Ruffalo,GCVC,,9:47,unknown,1,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,No,<3,No,N/A,No,<3,"Many spiderwebs, Mountain chickadee observed feeding off this tree (hanging upside down and eating insects)","On rim side of fence; leaf buds have just broken, but were not breaking, missing notation in the data; insect-eaten leaves",These 'other comments' include site descriptions to locate trees
53,GCVC2,6/26/2013,Laura Shultz/Carlie Ruffalo,GCVC,,9:47,unknown,2,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,Couple of spiderwebs present,"Tree has a very straight trunk; New leaves, but not breaking; insect-eaten leaves",These 'other comments' include site descriptions to locate trees
54,SHRINE1,6/29/2013,Laura Shultz/Carlie Ruffalo,SHRINE,7:49,8:05,"Hot, sunny, no wind, thin blanket of clouds to the East",1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Insect present with orange body and stripes like a bee or yellow jacket (sketch in journal),Insect-eaten Leaves; fruit noticabely larger,
55,SHRINE2,6/29/2013,Laura Shultz/Carlie Ruffalo,SHRINE,7:49,8:05,"Hot, sunny, no wind, thin blanket of clouds to the East",2,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Same insect present as 6/29 Shrine #1; Tarantula Hawk was also present,Insect-eaten leaves,
56,SHRINE3,6/29/2013,Laura Shultz/Carlie Ruffalo,SHRINE,7:49,8:05,"Hot, sunny, no wind, thin blanket of clouds to the East",3,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,Insect-eaten leaves,
57,SHRINE4,6/29/2013,Laura Shultz/Carlie Ruffalo,SHRINE,7:49,8:05,"Hot, sunny, no wind, thin blanket of clouds to the East",4,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Same insect present as 6/29 Shrine #1; Spiderwebs,Insect-eaten leaves,
58,HQ1,6/29/2013,Laura Shultz/Carlie Ruffalo,HQ,8:05,8:11,"Hot, sunny, slight breeze, think blanket of clouds to the East",1,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,Many woodpecker holes in trunk; lower leaves show insect folivery,
59,HQ2,6/29/2013,Laura Shultz/Carlie Ruffalo,HQ,8:05,8:11,"Hot, sunny, slight breeze, think blanket of clouds to the East",2,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"Fungus/galls present; round fungus or gall on underside of leaf; insect present, see sketch in journal",Woodpecker holes present in trunk; Fruit noticably larger,
60,GCVC7,6/29/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:30,8:48,"Hot, sunny, think blanket of clouds",7,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Fungus/gall on underside of leaf; larvae of some species hanging off of branch (see photos),Insect-eaten leaves,
61,GCVC8,6/29/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:30,8:48,"Hot, sunny, think blanket of clouds",8,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Robin's nest in trunk not under observation; fungus/galls present,Insect-eaten leaves,
62,GCVC9,6/29/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:30,8:48,"Hot, sunny, think blanket of clouds",9,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,Fungus/galls present; same larvae as GCVC #7,Insect-eaten leaves,
63,GCVC10,6/29/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:30,8:48,"Hot, sunny, think blanket of clouds",10,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,Insect-eaten Leaves; fruit noticabely larger,
64,GCVC1,6/29/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:49,9:07,"Hot, sunny, no wind, thin blanket of clouds to the East",1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,"Spiderwebs, little white and grey spider",Insect-eaten leaves,
65,GCVC2,6/29/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:49,9:07,"Hot, sunny, no wind, thin blanket of clouds to the East",2,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,"Spiderwebs; Fungus/galls present; same larvae present, fell into my notebook, see pics",Insect-eaten leaves,
66,GCVC5,6/29/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:49,9:07,"Hot, sunny, no wind, thin blanket of clouds to the East",5,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,Pinyon jay; Rock squirrel present; fungus/galls present; threads of seen larvae,Insect-eaten leaves,
67,GCVC6,6/29/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:49,9:07,"Hot, sunny, no wind, thin blanket of clouds to the East",6,,,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,Fungus/galls present,"Insect-eaten leaves; Newer leaves, but no breaking leaf buds- one is about to break ",
68,SHRINE1,7/3/2013,Laura Shultz/Carlie Ruffalo,SHRINE,8:27,8:38,"Warm, sunny, slight breeze, slight cloud cover",1,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Fungus/galls present; large black ant; threads of larvae; evidence of elk/deer eaten leaves,Small fruit coming in next to larger acrons; insect-eaten leaves,
69,SHRINE2,7/3/2013,Laura Shultz/Carlie Ruffalo,SHRINE,8:27,8:38,"Warm, sunny, slight breeze, slight cloud cover",2,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Evidence of elk/deer eaten leaves,Insect-eaten leaves,
70,SHRINE3,7/3/2013,Laura Shultz/Carlie Ruffalo,SHRINE,8:27,8:38,"Warm, sunny, slight breeze, slight cloud cover",3,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Orange wasp; multiple small balck ants on trunk of tree,Woodpecker holes present in trunk; insect-eaten leaves,
71,SHRINE4,7/3/2013,Laura Shultz/Carlie Ruffalo,SHRINE,8:27,8:38,"Warm, sunny, slight breeze, slight cloud cover",4,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Pleathora of little black ants on neighboring tree,Woodpecker holes present in trunk; insect-eaten leaves,
72,HQ1,7/3/2013,Laura Shultz/Carlie Ruffalo,HQ,8:08,8:19,"Warm, sunny, slight breeze, slight cloud cover",1,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,Mouse in leaf tunnels under tree upon arrival; Mountain Chickadee; Dark-eyed Junco (ID-ed by Gabby); fungus/galls present,Insect-eaten leaves,
73,HQ2,7/3/2013,Laura Shultz/Carlie Ruffalo,HQ,8:08,8:19,"Warm, sunny, slight breeze, slight cloud cover",2,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,Mountain Chickadee; some kind of small black bug community under one leaf,"Caps on acprns starting to become visible (also larger); seems slightly less healthy than last visit; insect-eaten leaves, though less than HQ#1",
74,GCVC7,7/3/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:06,9:23,"Warm, sunny but more shaded, breezy",7,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"Second bird nest in this area, unsure of who's; fungus/gall present on underside of leaf",New tiny fruit; insect-eaten leaves,
75,GCVC8,7/3/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:06,9:23,"Warm, sunny but more shaded, breezy",8,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Found no eggs in nest noed on last visit; little black ant; dangling larvae; funugs/galls present,Insect-eaten leaves,
76,GCVC9,7/3/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:06,9:23,"Warm, sunny but more shaded, breezy",9,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,Fungus/galls present; Orange wasp; Larvae and larvae threads; evidence of elk/deer eaten leaves,Insect-eaten leaves,
77,GCVC10,7/3/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:06,9:23,"Warm, sunny but more shaded, breezy",10,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Silk larvae threads present,Few woodpecker holes present; fruit noted on inside trunk; areas of bark have a reddish tint and peels; insect-eaten leaves,
78,GCVC1,7/3/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:25,9:40,"Warm, sunny, breezy, few clouds",1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,Spiderwebs; larvae; silk larvae threads; evidence of elk/deer eaten leaves,Insect-eaten leaves,
79,GCVC2,7/3/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:25,9:40,"Warm, sunny, breezy, few clouds",2,,,QUEGAM,Yes,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,Fungus/galls present; also larvae threads,Insect-eaten leaves; Breaking Leaf bud and new fruit noted! ,
80,GCVC5,7/3/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:25,9:40,"Warm, sunny, breezy, few clouds",5,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,11-100,No,N/A,No,<3,Fungus/galls present; also fungus/gall on underside of leaf,Insect-eaten leaves,
81,GCVC6,7/3/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:25,9:40,"Warm, sunny, breezy, few clouds",6,,,QUEGAM,Yes,3-10,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,Fungus/galls present,Insect-eaten leaves; Breaking leaf bud noted!,
82,SHRINE1,7/6/2013,Laura Shultz/Carlie Ruffalo,SHRINE,7:39,7:50,"Cooler, sunny, slight breeze, partly cloudy",1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Steller's Jay present on arrival,Insect-eaten leaves,
83,SHRINE2,7/6/2013,Laura Shultz/Carlie Ruffalo,SHRINE,7:39,7:50,"Cooler, sunny, slight breeze, partly cloudy",2,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,Insect-eaten leaves,
84,SHRINE3,7/6/2013,Laura Shultz/Carlie Ruffalo,SHRINE,7:39,7:50,"Cooler, sunny, slight breeze, partly cloudy",3,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,Insect-eaten leaves,
85,SHRINE4,7/6/2013,Laura Shultz/Carlie Ruffalo,SHRINE,7:39,7:50,"Cooler, sunny, slight breeze, partly cloudy",4,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Big black ant present,Insect-eaten Leaves; fruit noticabely larger,
86,HQ1,7/6/2013,Laura Shultz/Carlie Ruffalo,HQ,7:51,8:02,"Cooler, parlty sunny, slight breeze, cloudy",1,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,Fungus/galls present,Woodpecker holes; insect-eaten leaves,
87,HQ2,7/6/2013,Laura Shultz/Carlie Ruffalo,HQ,7:51,8:02,"Cooler, parlty sunny, slight breeze, cloudy",2,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,Fungus/galls on underside of leaf; group of black bugs still present on leaf underside,"Woodpecker holes; Large unripe acorns, but also small brown acrons at tree top?ÿtoo far away to look closely; noted other small brown acorns? unsure of their health status",
88,GCVC1,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:33,8:42,"Slight breeze, Cloudy",1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,Spiderwebs; larvae; prange wasp on neighboring pinyon; some kind of mammal fuzz present on branch- elk?,insect-eaten leaves; new fruit! ,
89,GCVC2,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:33,8:42,"Slight breeze, Cloudy",2,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,small beetle present on leaf with red spots on sides (see sketch in journal); small black ants; fungus/galls present; larvae threads,Insect-eaten leaves,
90,GCVC3,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:00,9:25,"Slight breeze, Cloudy",3,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,Orange wasp; Larvae; one rolled leaf with what looks like mold (see pic),"Found with GPS, had previously lost tags; on own, teo feet off trail between pair of gambel trunks and a pinyon pine",
91,GCVC4,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,9:00,9:25,"Slight breeze, Cloudy",4,,,QUEGAM,Yes,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,Spiderwebs; fungus/galls present,"Found with GPS, had previously lost tags; 2nd tree closet to pavement",
92,GCVC5,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:52,9:00,"Slight breeze, Cloudy",5,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,11-100,No,N/A,No,<3,Orange wasp; fungus/galls present,"Insect-eaten leaves; newer leaves, but not breaking with only one breaking leaf bud",
93,GCVC6,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:52,9:00,"Slight breeze, Cloudy",6,,,QUEGAM,Yes,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,Fungus/galls present,"Insect-eaten leaves; newer leaves, but not breaking with only one breaking leaf bud",
94,GCVC7,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:14,8:32,"Warm, sunny, slight breeze, cloudy",7,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Robin churping at us- eggs close by?; fungus/gall on underside of leaf; fly,"Insect-eaten leaves; Bark peeling in sections (very thin layers, discolored); odd section of bark with clustered black spots",
95,GCVC8,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:14,8:32,"Warm, sunny, slight breeze, cloudy",8,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"Another robin, landed on trunk near nest, full mouth; larvae threads present; fungus/galls present",Insect-eaten leaves,
96,GCVC9,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:14,8:23,"Warm, sunny, slight breeze, cloudy",9,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,"Robin flew away upon approach; fungus/galls present; Saw nest in neighboring tree with baby birds; moth; larvae threads and larvae both present; fly; bug on underside of leaf, see sketch in journal",Insect-eaten leaves,
97,GCVC10,7/6/2013,Laura Shultz/Carlie Ruffalo,GCVC,8:14,8:32,"Warm, sunny, slight breeze, cloudy",10,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Fly sitting on trunk of tree; Rolled leaves,Insect-eaten leaves; trunk discoloration on both trunks- reddish and then peels; noticably more and larger fruit,
98,SHRINE1,7/9/2013,Laura Shultz/Carlie Ruffalo,SHRINE,8:29,8:55,"Hot, sunny, clouds on East horizon",1,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,Spiderweb; larvae threads; flys buzzing around,Insect-eaten leaves,
