"","Observation.ID","Site","Species.Code","Observer","Plant..","Date","Year","Arrival.Time","Departure.Time","Weather","North.Face","South.Face","Breaking.Leaf.Buds","How.many.do.you.see.","Leaves.","What...of.canopy.is.full.","Colored.Leaves.","What...of.canopy.has.colored.leaves.","Falling.Leaves","Fruits","How.many.fruits.do.you.see..","Ripe.Fruits","What...of.all.Fruit.are.Ripe.","Recent.Fruit.Drop.","How.many.dropped.fruit.did.you.see.","Species.Observed","Other.Comments"
"31",554,"ERD","QUEGAM","TESREE",4,"5/12/2014",2014,"04:10:00 PM","04:45:00 PM","Clear, mostly or full sun",72,66,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Recorded North face temp is sun. South is shade."
"32",1084,"ERD","QUEGAM","AUBWOO",4,"5/11/2015",2015,"12:48:00 PM","01:21:00 PM","Clear, mostly or full sun",71,75,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"33",1474,"ERD","QUEGAM","IANENN, JUSMIN",4,"5/24/2016",2016,"07:15:00 AM","08:10:00 AM","Partly cloudy",48,49,1,"11-100",1,"50-74%",0,"<25%",0,0,"101-1000",0,"<25%",0,"<3","Orange and blue lichen",""
"34",1874,"ERD","QUEGAM","AHSJEN",4,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"35",2184,"ERD","QUEGAM","AHSJEN",4,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"36",2284,"ERD","QUEGAM","MELSTE, AHSJEN",4,"4/30/2019",2019,"07:30:00 AM","07:58:00 AM","Hazy",34,33,1,"<3",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"37",2724,"ERD","QUEGAM","MEADRE, CAMPRO",4,"5/18/2020",2020,"07:45:00 AM","08:45:00 AM","Clear, mostly or full sun",58,58,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"38",2835,"ERD","QUEGAM","HARFRI",4,"5/18/2021",2021,"07:20:00 AM","07:45:00 AM","Clear, mostly or full sun",53,52,1,"3-10",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Some frost damage from freeze a few weeks prior to observation"
"39",3066,"ERD","QUEGAM","Watts",4,"5/12/2022",2022,"10:00:00 AM","10:45:00 AM","Clear, mostly or full sun",58,68,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"40",63,"ERD","QUEGAM","AHSJEN/SHAMOR",5,"5/13/2013",2013,"","","NR",NA,NA,1,"1001-10000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"41",555,"ERD","QUEGAM","TESREE",5,"5/12/2014",2014,"04:10:00 PM","04:45:00 PM","Clear, mostly or full sun",74,64,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Recorded North face temp is sun. South is shade."
"42",1085,"ERD","QUEGAM","AUBWOO",5,"5/11/2015",2015,"12:48:00 PM","01:21:00 PM","Clear, mostly or full sun",70,70,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"43",1475,"ERD","QUEGAM","IANENN, JUSMIN",5,"5/24/2016",2016,"07:15:00 AM","08:10:00 AM","Partly cloudy",47,53,1,"11-100",1,"50-74%",0,"<25%",0,0,"101-1000",0,"<25%",0,"<3","Ants on high near tree top leaves",""
"44",1875,"ERD","QUEGAM","AHSJEN",5,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"45",2185,"ERD","QUEGAM","AHSJEN",5,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"46",2285,"ERD","QUEGAM","MELSTE, AHSJEN",5,"4/30/2019",2019,"07:30:00 AM","07:58:00 AM","Hazy",32,34,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"47",2725,"ERD","QUEGAM","MEADRE, CAMPRO",5,"5/18/2020",2020,"07:45:00 AM","08:45:00 AM","Clear, mostly or full sun",82,58,1,"101-1000",1,"25-49%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"48",2836,"ERD","QUEGAM","HARFRI",5,"5/18/2021",2021,"07:20:00 AM","07:45:00 AM","Clear, mostly or full sun",56,54,1,"3-10",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Significant frost damage"
"49",3067,"ERD","QUEGAM","Watts",5,"5/12/2022",2022,"10:00:00 AM","10:45:00 AM","Clear, mostly or full sun",55,76,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"50",64,"ERD","QUEGAM","AHSJEN/SHAMOR",6,"5/13/2013",2013,"","","NR",NA,NA,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"51",556,"ERD","QUEGAM","TESREE",6,"5/12/2014",2014,"04:10:00 PM","04:45:00 PM","Clear, mostly or full sun",60,56,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Recorded North face temp is sun. South is shade."
"52",1086,"ERD","QUEGAM","AUBWOO",6,"5/11/2015",2015,"12:48:00 PM","01:21:00 PM","Clear, mostly or full sun",70,69,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Galls"
"53",1476,"ERD","QUEGAM","IANENN, JUSMIN",6,"5/24/2016",2016,"07:15:00 AM","08:10:00 AM","Partly cloudy",45,44,1,"11-100",1,"25-49%",0,"<25%",0,0,"101-1000",0,"<25%",0,"<3","","two dead branches with small dead acorns"
"54",1876,"ERD","QUEGAM","AHSJEN",6,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"55",2186,"ERD","QUEGAM","AHSJEN",6,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"56",2286,"ERD","QUEGAM","MELSTE, AHSJEN",6,"4/30/2019",2019,"07:30:00 AM","07:58:00 AM","Hazy",33,34,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"57",2726,"ERD","QUEGAM","MEADRE, CAMPRO",6,"5/18/2020",2020,"07:45:00 AM","08:45:00 AM","Clear, mostly or full sun",58,56,1,"11-100",1,"25-49%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"58",2837,"ERD","QUEGAM","HARFRI",6,"5/18/2021",2021,"07:20:00 AM","07:45:00 AM","Clear, mostly or full sun",52,51,1,"3-10",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Minor frost damage"
"59",3068,"ERD","QUEGAM","Watts",6,"5/12/2022",2022,"10:00:00 AM","10:45:00 AM","Clear, mostly or full sun",55,75,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"60",25,"ERD","QUEGAM","ASHBED",7,"4/30/2013",2013,"","","NR",NA,NA,1,"1001-10000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"61",507,"ERD","QUEGAM","AHSJEN",7,"3/31/2014",2014,"","","NR",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"62",1047,"ERD","QUEGAM","SHADOW,LAUSHU",7,"4/26/2015",2015,"02:30:00 PM","03:00:00 PM","Partly cloudy",40,40,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"63",1457,"ERD","QUEGAM","AHSJEN",7,"4/28/2016",2016,"08:32:00 AM","09:20:00 AM","Overcast",34,34,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"64",1877,"ERD","QUEGAM","AHSJEN",7,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"65",2187,"ERD","QUEGAM","AHSJEN",7,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"66",2287,"ERD","QUEGAM","MELSTE, AHSJEN",7,"4/30/2019",2019,"07:30:00 AM","07:58:00 AM","Hazy",32,34,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"67",2697,"ERD","QUEGAM","MEADRE",7,"4/30/2020",2020,"07:40:00 AM","07:57:00 AM","Partly cloudy",64,62,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"68",2828,"ERD","QUEGAM","HARFRI, SASESC",7,"5/11/2021",2021,"07:21:00 AM","07:39:00 AM","Clear, mostly or full sun",63,51,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"69",3039,"ERD","QUEGAM","Cannon, Watts",7,"4/20/2022",2022,"02:15:00 PM","03:00:00 PM","Clear, mostly or full sun",68,66,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"70",26,"ERD","QUEGAM","ASHBED",8,"4/30/2013",2013,"","","NR",NA,NA,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"71",518,"ERD","QUEGAM","ANNKNI/AHSJEN",8,"4/2/2014",2014,"08:45:00 AM","09:30:00 AM","Partly cloudy",NA,NA,1,"<3",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"72",1048,"ERD","QUEGAM","SHADOW,LAUSHU",8,"4/26/2015",2015,"02:30:00 PM","03:00:00 PM","Partly cloudy",40,50,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"73",1458,"ERD","QUEGAM","AHSJEN",8,"4/28/2016",2016,"08:32:00 AM","09:20:00 AM","Overcast",38,36,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"74",1878,"ERD","QUEGAM","AHSJEN",8,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"75",2188,"ERD","QUEGAM","AHSJEN",8,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"76",2288,"ERD","QUEGAM","MELSTE, AHSJEN",8,"4/30/2019",2019,"07:30:00 AM","07:58:00 AM","Hazy",36,36,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"77",2698,"ERD","QUEGAM","MEADRE",8,"4/30/2020",2020,"07:40:00 AM","07:57:00 AM","Partly cloudy",69,62,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"78",2829,"ERD","QUEGAM","HARFRI, SASESC",8,"5/11/2021",2021,"07:21:00 AM","07:39:00 AM","Clear, mostly or full sun",64,52,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"79",3040,"ERD","QUEGAM","Cannon, Watts",8,"4/20/2022",2022,"02:15:00 PM","03:00:00 PM","Clear, mostly or full sun",78,94,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"80",27,"ERD","QUEGAM","DAVELY",9,"4/30/2013",2013,"","","NR",NA,NA,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"81",509,"ERD","QUEGAM","AHSJEN",9,"3/31/2014",2014,"","","NR",NA,NA,1,"<3",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"82",1089,"ERD","QUEGAM","AUBWOO",9,"5/11/2015",2015,"12:48:00 PM","01:21:00 PM","Clear, mostly or full sun",78,74,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"83",1479,"ERD","QUEGAM","IANENN, JUSMIN",9,"5/24/2016",2016,"07:15:00 AM","08:10:00 AM","Partly cloudy",44,46,1,"3-10",1,">95%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"84",1879,"ERD","QUEGAM","AHSJEN",9,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"85",2189,"ERD","QUEGAM","AHSJEN",9,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"86",2289,"ERD","QUEGAM","MELSTE, AHSJEN",9,"4/30/2019",2019,"07:30:00 AM","07:58:00 AM","Hazy",34,34,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"87",2699,"ERD","QUEGAM","MEADRE",9,"4/30/2020",2020,"07:40:00 AM","07:57:00 AM","Partly cloudy",65,62,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"88",2830,"ERD","QUEGAM","HARFRI, SASESC",9,"5/11/2021",2021,"07:21:00 AM","07:39:00 AM","Clear, mostly or full sun",49,49,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"89",3051,"ERD","QUEGAM","Watts",9,"4/28/2022",2022,"09:40:00 AM","10:30:00 AM","Clear, mostly or full sun",61,59,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","Rust/orange colored lichen",""
"90",28,"ERD","QUEGAM","DAVELY",10,"4/30/2013",2013,"","","NR",NA,NA,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"91",530,"ERD","QUEGAM","AHSJEN/TESREE",10,"4/23/2014",2014,"04:00:00 PM","04:30:00 PM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"92",1060,"ERD","QUEGAM","AUBWOO",10,"4/27/2015",2015,"03:11:00 PM","03:54:00 PM","Clear, mostly or full sun",79,71,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Recent trailside broken branch"
"93",1460,"ERD","QUEGAM","AHSJEN",10,"4/28/2016",2016,"08:32:00 AM","09:20:00 AM","Overcast",40,47,1,"<3",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"94",1880,"ERD","QUEGAM","AHSJEN",10,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"95",2190,"ERD","QUEGAM","AHSJEN",10,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"96",2290,"ERD","QUEGAM","MELSTE, AHSJEN",10,"4/30/2019",2019,"07:30:00 AM","07:58:00 AM","Hazy",34,34,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"97",2700,"ERD","QUEGAM","MEADRE",10,"4/30/2020",2020,"07:40:00 AM","07:57:00 AM","Partly cloudy",66,64,1,"<3",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"98",2831,"ERD","QUEGAM","HARFRI, SASESC",10,"5/11/2021",2021,"07:21:00 AM","07:39:00 AM","Clear, mostly or full sun",59,55,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"99",3072,"ERD","QUEGAM","Watts",10,"5/12/2022",2022,"10:00:00 AM","10:45:00 AM","Clear, mostly or full sun",60,68,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
